Project,Package,Class,Method,Smell,Description,Method start line no,File
assignment,assignment.user,User,User,Long Parameter List,The method has 7 parameters. ,26,/Users/iraxty/Desktop/assignment/assignment/app/src/main/java/assignment/user/User.java
assignment,assignment.user,User,deactivateAccount,Complex Conditional,The conditional expression accountActive && userID != null && userID.equals(id) is complex.,77,/Users/iraxty/Desktop/assignment/assignment/app/src/main/java/assignment/user/User.java
assignment,assignment.user,UsersManager,findUserFromDB,Long Statement,The length of the statement "try (Connection conn=DriverManager.getConnection(dbUrl`dbUser`dbPassword);PreparedStatement stmt=conn.prepareStatement(query)){" is 127.,20,/Users/iraxty/Desktop/assignment/assignment/app/src/main/java/assignment/user/UsersManager.java
assignment,assignment.cart,Product,Product,Long Parameter List,The method has 5 parameters. ,13,/Users/iraxty/Desktop/assignment/assignment/app/src/main/java/assignment/cart/Product.java
assignment,assignment.cart,Product,setFullDetailedProduct,Long Parameter List,The method has 8 parameters. ,79,/Users/iraxty/Desktop/assignment/assignment/app/src/main/java/assignment/cart/Product.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,Long Parameter List,The method has 5 parameters. ,30,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,35,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Magic Number,The method contains a magic number: 8,35,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,49,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,Magic Number,The method contains a magic number: 8,49,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,67,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Magic Number,The method contains a magic number: 8,67,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,Long Parameter List,The method has 5 parameters. ,30,/Users/iraxty/Desktop/assignment/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
