Project,Package,Class,Method,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
assignment,assignment.user,User,User,9,1,7,26,0,,
assignment,assignment.user,User,getUserID,3,1,0,37,0,,
assignment,assignment.user,User,getUsername,3,1,0,41,0,,
assignment,assignment.user,User,getFirstname,3,1,0,45,0,,
assignment,assignment.user,User,getLastname,3,1,0,49,0,,
assignment,assignment.user,User,isAccountActive,3,1,0,53,0,,
assignment,assignment.user,User,setUsername,3,1,1,57,0,,
assignment,assignment.user,User,setAccountActive,3,1,1,61,0,,
assignment,assignment.user,User,updateUsername,3,1,1,65,0,,
assignment,assignment.user,User,getTitles,3,1,0,69,0,,
assignment,assignment.user,User,isActive,3,1,0,73,0,assignment.user.User,assignment.user.User
assignment,assignment.user,User,deactivateAccount,7,2,1,77,0,,
assignment,assignment.user,User,isEquals,3,1,1,85,0,,
assignment,assignment.user,User,printUserInfo,5,2,0,89,0,,
assignment,assignment.user,User,linkCart,4,2,1,96,0,,
assignment,assignment.user,User,getCart,3,1,0,102,0,,
assignment,assignment.user,User,printAllRoles,3,1,0,106,0,,
assignment,assignment.user,User,printEveryRole,5,2,0,110,0,,
assignment,assignment.user,UsersManager,findUserFromDB,11,1,1,20,0,,
assignment,assignment.user,UsersManager,addUser,3,2,1,36,0,assignment.user.UsersManager,assignment.user.UsersManager
assignment,assignment.user,UsersManager,removeEmptyTitlesFromUser,8,3,1,41,0,,
assignment,assignment.user,UsersManager,addCartToUser,3,1,2,50,0,,
assignment,assignment.cart,Product,Product,7,1,5,13,0,,
assignment,assignment.cart,Product,getId,3,1,0,21,0,,
assignment,assignment.cart,Product,setId,3,1,1,25,0,,
assignment,assignment.cart,Product,getName,3,1,0,29,0,,
assignment,assignment.cart,Product,setName,3,1,1,33,0,,
assignment,assignment.cart,Product,getDescription,3,1,0,37,0,,
assignment,assignment.cart,Product,setDescription,2,1,1,41,0,,
assignment,assignment.cart,Product,getUnitPrice,3,1,0,44,0,,
assignment,assignment.cart,Product,setUnitPrice,2,1,1,48,0,,
assignment,assignment.cart,Product,getCategory,3,1,0,51,0,,
assignment,assignment.cart,Product,setCategory,2,1,1,55,0,,
assignment,assignment.cart,Product,getBrand,3,1,0,58,0,,
assignment,assignment.cart,Product,setBrand,2,1,1,62,0,,
assignment,assignment.cart,Product,getStockQuantity,3,1,0,65,0,,
assignment,assignment.cart,Product,setStockQuantity,2,1,1,69,0,,
assignment,assignment.cart,Product,IsAvailable,3,1,0,72,0,,
assignment,assignment.cart,Product,setIsAvailable,2,1,1,76,0,,
assignment,assignment.cart,Product,setFullDetailedProduct,10,1,8,79,0,,
assignment,assignment.cart,Cart,Cart,3,1,0,9,0,,
assignment,assignment.cart,Cart,addProduct,4,2,2,13,0,,
assignment,assignment.cart,Cart,removeProduct,3,1,1,21,0,,
assignment,assignment.cart,Cart,updateProductQuantity,4,3,2,25,0,assignment.cart.Cart,assignment.cart.Cart
assignment,assignment.cart,Cart,calculateTotal,9,2,0,34,0,,
assignment,assignment.cart,Cart,getProducts,3,1,0,44,0,,
assignment,assignment.cart,Cart,clearCart,3,1,0,48,0,,
assignment,assignment.cart,Cart,calc,4,2,2,52,0,assignment.cart.Cart,assignment.cart.Cart
assignment,assignment.cart,Cart,calcHigher,3,1,2,59,0,assignment.cart.Cart,assignment.cart.Cart
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,3,1,5,30,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,4,1,0,35,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,4,1,0,49,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getVersions,3,1,0,60,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,4,1,0,67,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getPlugins,3,1,0,78,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,3,1,5,30,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,getGuava,3,1,0,35,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,getJunit,3,1,0,45,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,getVersions,3,1,0,52,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,getBundles,3,1,0,59,0,,
assignment,org.gradle.accessors.dm,LibrariesForLibs,getPlugins,3,1,0,66,0,,
